# Glossary in tab-separated format -*- coding: utf-8 -*-
&mdash;	—
&ndash;	–
abuse	misbruiken, onteren, verkrachten	
abuse	misbruiken, verkeerd gebruiken	
abuse	mishandelen	
abuse	mishandeling (f)	
abut	grenzen	
abysm	afgrond (m), ravijn (n)	
abyss	afgrond (m), ravijn (n)	
AC	wisselstroom (What flows "'through"' the wires and the resistance); frequently (but mistakenly) translated as wisselspanning (What can be measured "'over"' an open circuit or a resistance)	
academian	academicus (m)	
academic	academicus (m)	
academic	akademisch	
academician	academicus (m)	
academy	academie (f)	
accede	aanvaarden, ("throne") bestijgen	
accede	naderen	
accede	toestemmen, aanvaarden, inwilligen	
accede	toetreden	
accelerate	bespoedigen	
accelerate	versnellen	
accelerate	versnellen	
accelerate	versnellen, sneller gaan	
acceleration	versnelling (f), acceleratie (f)	
acceleration	versnelling (f), acceleratie (f)	
acceleration	versnelling (f), acceleratie (f)	
accelerator	versneller (m) (1,2,3), gaspedaal (n) (4)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n)	
accent	accent (n), accentteken (n)	
accent	accent (n), accentteken (n)	
accent	accent (n), klemtoon (m)	
accent	accent (n), klemtoon (m)	
accent	accent (n), tongval (m), uitspraak (f)	
accent	accentueren, beklemtonen	
accent	accentueren, beklemtonen	
accent	beklemtonen	
accentuate	beklemtonen	
accentuate	beklemtonen, accentueren	
accentuate	benadrukken, beklemtonen	
accept	accepteren, aanvaarden	
accept	accepteren, aanvaarden	
accept	ondergaan, aanvaarden	
accept	ontvangen	
acceptable	aanvaardbaar, aanvaardbare, acceptabel, acceptabele	
acceptor	" "	
access	aanval, uitval	
access	benadering	
access	bezoekrecht (n)	
access	instemming	
access	toegang hebben (tot)	
access	toegang hebben (tot), bereiken, verkrijgen	
access	toegang, toegangsrecht, toelating	
access	toegang, toegangsweg, passage	
access	toeval, aanval	
access	toevoeging, aanwinst	
accessory	accessoire (n), aanhangsel (n), toebehoren (n)	
accessory	meegeleverd, toegevoegd, medeplichtig	
accident	ongeval (n), ongeluk (n)	
accidentally	toevallig	
acclaim	juichen, applaudiseren	
acclaim	toejuichen, prijzen, loven	
acclaim	uitroepen	
acclaim	uitroepen (tot)	
acclamation	gejuich, acclamatie	
acclamation	zonder hoofdelijke stemming, met algemene instemming	
acclimatization	acclimatisatie (f), aanpassing (f)	
acclimatize	acclimatiseren	
acclimatize	acclimatiseren	
accompany	vergezellen, begeleiden	
accomplice	handlanger (m)	
accomplice	medeplichtige "m,f", handlanger (m)	
accomplishable	haalbaar	
accomplished	voldaan, voldane, voltrokken	
accomplisher	presteerder (m), presteerster (f)	
accomplishment	prestatie (f)	
accomplishment	voltooiing (f)	
according to	overeenkomstig	
according to	volgens	
accordion	accordeon (n), harmonica (m)	
account	rekenschap	
accountable	verantwoordelijk (1), aansprakelijk (1), verklaarbaar (2)	
accountancy	boekhouden (n)	
accountant	boekhouder	
accounting	boekhouding (f)	
accouter	voorzien), uitdossen)	
accrue	verhogen, groeien	
accumulate	opstapelen, vermeerderen	
accumulate	zich opstapelen, (zich) vermeerderen	
accumulation	accumulatie (f), opstapeling (f)	
accumulator	accu	
accurate	accuraat, precies, exact	
accusative	accusatief (m), vierde naamval (m), lijdend voorwerp (n)	
accusative	beschuldigend	
accusative case	accusatief (m), vierde naamval (m), lijdend voorwerp (n)	
accusatory	beschuldigend	
accuse	beschuldigen	
accustom	gewennen	
ace	aas (m)	
acetate	acetaat	
acetylene	acetyleen (n)	
Achab	Achab	
ache	pijn (m)	
achievable	haalbaar, haalbare	
achievement	prestatie f	
Achilles	Achilles	
Achilles heel	achilleshiel	
acid	zuur	
acid	zuur	
acid	zuur (n)	
acid	zuur (n)	
acid rain	zure regen	
acknowlegdment	bevestiging
acorn	eikel (m)	
acorn-shell	zeepok (m)	
acoustics	akoestiek (m)	
acrobat	acrobaat (m)	
acronym	acroniem (n), letterwoord (n)	
acrophobia	hoogtevrees (informal), acrofobie (formal)	
Acropolis	Akropolis	
act	akte	
act	handelen	
act	handeling (f)	
act	handeling (f), daad	
act	wet	
action	actie (f)	
action	actie) (f)	
action	actie) (f)	
action	actie) (f)	
action	beweging) (f)	
action	handeling) (f), actie) (f)	
action	mechanisme) (n)	
active voice	bedrijvende vorm, actief (n), activum (n)	
actual	huidig	
actual	werkelijk	
actually	eigenlijk, in werkelijkheid	
acupuncture	acupunctuur (f)	
AD	n.Chr ("na Christus")	
ad hoc	ad hoc	
ad infinitum	in oneindigheid, voor altijd	
Adam	Adam	
Adam's apple	adamsappel (m)	
add	optellen, bijtellen	
add	toevoegen	
adder	adder (m)	
adder	slang (f)	
addictive	verslavend	
addition	optelling (f), sommering (f)	
addition	toevoeging (f)	
addition	toevoeging (f)	
address	adres (n)	
address book	adresboek (n)	
Adelaide	Adelheid	
adequacy	deugdelijkheid	
adequate	voldoende, deugdelijk	
adieu	Adieu	
adjacent	aanpalend, er naast liggend	
adjectival	bijvoeglijk	
adjective	bijvoeglijk naamwoord (n), adjectief (n)	
adjective	bijvoeglijk, adjectivisch	
adjective	formeel	
adjunct	bepaling (f)	
adjust	aanpassen	
adjustment	aanpassing (f), bijregeling (f)	
admiration	bewondering (f)	
admire	aanbidden	
Adolf	Adolf, Ad, Dolf	
Adolph	Adolf, Ad, Dolf, Dolfje, Adolphus, Adulf, Addo	
adopt	adopteren, aannemen (1), goed keuren (2)	
adoptive father	adoptie vader	
adorable	aanbiddelijk	
adore	aanbidden, adoreren	
Adrian	Adriaan	
Adriatic Sea	Adriatische Zee	
adultery	overspel (n)	
adventure	avontuur (n)	
adventure	avontuur (n)	
adventure	avontuur (n)	
adventure	risico (n), avontuur (n)	
adventure	wagen, riskeren	
adventurous	avontuurlijk	
adverb	bijwoord (n)	
adverbial	bijwoordelijk	
adverbial clause	bijwoordelijke bepaling (n)	
adversary	tegenstander (m)	
advertisement	advertentie (f)	
advice	raad (m), advies	
advocate	advocaat (m), advocate (f)	
advocate	voorstander, verdediger	
Aegean Sea	EgeÃ¯sche Zee	
Aegidius	Aegidius	
aeroplane	vliegtuig (n)	
Aeschylus	Aischylos	
aesthete	estheet (m)	
aesthetic	esthetisch)	
aesthetic	f)	
aesthetic	n)	
aesthetics	esthetica (f)	
affirmative	bevestigende zin (m)	
affirmative sentence	bevestigende zin (m)	
affix	affix (n)	
affix	affix (n)	
affix	affix (n), aanhangsel) (n)	
affix	vastmaken) aan), aanhangen)	
Afghanistan	Afghanistan	
Africa	Afrika (n)	
African	Afrikaan (m), Afrikaanse (f)	
African	Afrikaans, Afrikaanse	
Afrikaans	Afrikaans	
Afrikaans	Afrikaans	
after	achter	
after	achter aan	
after	na	
after	na	
after	naar	
after	ondanks	
after	vanwege, door	
after dark	na het donker(worden), nadat de nacht gevallen is, na het vallen van de avond	
afternoon	namiddag (m)	
afterwards	nadien, achteraf	
again	opnieuw, nogmaals, weer, wederom	
against	tegen	
Agatha	Agatha	
age	generatie (f)	
age	leeftijd (m)	
age	leeftijd (m) (1), ouderdom (m) (1)	
age	oud doen worden, doen verouderen	
age	oud worden, verouderen	
age	ouderdom (m)	
age	tijdperk (n), era (f), tijd (m), epoch ' m"	
agenda	agenda	
agenda	agenda	
agglutinative	agglutinerend (1,2)	
aggression	agressie	
Aglaia	AglaÃ¯a	
Agnes	Agnes	
ago	geleden	
agony	doodsstrijd (m), agonie (f)	
agony	ondraaglijke pijn	
agoraphobia	agorafobie	
agouti	agoeti	
agree	afspreken, overeenstemmen, het eens zijn, toestemmen	
agriculture	landbouw (f)	
aha	aha	
Ahasverus	Ahasverus	
Ahaz	Achaz	
ahead of one's time	zijn tijd vooruit, zijn tijd ver vooruit	
ahoy	ahoi	
aid	aide-de-camp, adjudant	
aid	helpen, bijstaan	
aid	helper, assistent, hulpje	
aid	hulp, bijstand	
aid	hulpmiddel	
AIDS	aids (m)	
ail	schelen, mankeren	
ail	ziek zijn, iets mankeren, sukkelen	
aim	doel (n)	
air	lucht (f)	
air	luchten	
air force	luchtmacht	
air gun	luchtbuks; luchtgeweer (n)	
aircraft	vliegtuig (n)	
aircraft carrier	vliegdekschip (n)	
airlift	luchtbrug	
airlift	luchtbrug	
airlift	per luchtbrug vervoeren	
airplane	vliegtuig (n)	
airport	luchthaven	
airtight	luchtdicht, hermetisch	
AKA	alias	
Akkadian	Akkadisch (n)	
al-Qaeda	Al Qaida	
Alan	Alan, Alanus, Alain	
alas	helaas	
Alaska	Alaska	
alb	albe	
Alban	Alban	
Albania	AlbaniÃ«	
Albanian	Albanees	
Albanian	Albanees (m), Albanese (f)	
Albanian	Albanees, Albanese	
albatross	albatros (m)	
albatross	albatros (m)	
albeit	alhoewel	
Albert	Albert	
Albin	Albin	
albino	albino	
albino	albino	
alchemist	alchimist "c"	
alchemy	alchimie (f)	
alcohol	alcohol (m)	
alcoholic	alcoholisch	
alcoholic	alcoholist (m), alcoholiste (f), alcoholicus (m)	
alder	els (m)	
ale	donker bier (n)	
Alexander	Alexander	
Alexander the Great	Alexander de Grote	
Alfred	Alfred	
algebra	algebra (m), stelkunde (f)	
Algeria	Algerije	
Algerian	Algerijn (m), Algerijnse (f)	
Algerian	Algerijns	
Algiers	Algiers	
Ali	Ali	
alibi	alibi (n)	
Alice	Alice	
alienate	vervreemden	
alimony	alimentatie (f), alimentatiegeld (n)	
alive	levend	
alive	levendig	
all	al, alle	
all	alles (n), zich helemaal	
all	heel, hele (adjective), gans (de dag), (de) ganse (dag) (adjective)	
all	helemaal, gans, totaal	
all hands on deck	alle hens aan dek	
all rounder	manusje van alles	
All Saints Day	Allerheiligen (m)	
Allah	Allah	
allative case	allatief (m)	
allegiance	trouw, getrouwheid, loyaliteit, trouwhartigheid	
alley	doorgang (m), steeg (f)	
alligator	alligator (m)	
allowance	toeslag (5)	
alloy	legeren [lÎµ'gerÉ™n]	
alloy	legering (f)	
almighty	Almachtig	
almond	amandel (f)	
almond	amandelboom (m)	
almond	amandelkleurig, amandelkleurige	
almost	bijna, nagenoeg, vrijwel, zo goed als	
along	langs	
alpaca	alpaca (m)	
alphabet	alfabet	
alphabetic	alfabetisch	
alphanumeric	alfanumeriek	
Alphonse	Alfons	
alpine chough	alpenkauw (m)	
Alps	Alpen "m, pl"	
already	al, reeds	
Alsace	Elzas	
also	ook, eveneens, tevens	
altar	altaar (n)	
alternating	wissel-, afwisselend	
although	ondanks, hoewel, alhoewel	
alto	alt	
altruistic	altruÃ¯stisch, altruÃ¯stische	
aluminium	aluminium (n)	
aluminum	aluminium (n)	
Alvin	Adelwijn	
AlvÃ­ssmÃ¡l	AlvÃ­ssmÃ¡l	
always	altijd	
Alzheimer's disease	ziekte van Alzheimer, alzheimer	
amaranth	amarant (m)	
amaretto	amaretto	
amateur	niet-professioneel	
Amazonian antshrike	Amazone-mierklauwier	
Amber	Amber	
amber	amber (n), barnsteen (m) &amp; (n)	
amber	amberkleur (f)	
amber	amberkleurig, amberkleurige	
amber	oranje (n)	
ambiguous	dubbelzinnig, ambigu	
ambiguous	vaag, onduidelijk	
ambivalence	ambivalentie	
ambivalent	ambivalent, ambivalente	
ambulatory	ambulant, ambulante	
ameliorate	verbeteren	
amen	amen	
America	Amerika (f)	
American bison	bizon (m)	
American Samoa	Amerikaans Samoa	
Americanism	amerikanisme (n)	
Americanize	amerikaniseren	
amethyst	amethyst (m)	
Amharic	Amhaars (n), Amharisch (n)	
amino acid	aminozuur (n)	
amorphous	vormeloos, vormeloze	
amount	hoeveelheid (f), bedrag (n), saldo (n)	
ampersand	en-teken ("also" et-teken), ampersand	
amphetamine	amfetamine "de"	
amphibian	amfibie (m)	
amphibious	amfibisch	
amplitude modulation	omvang modulatie	
ampoule	ampul "de"	
amputate	afzetten, amputeren	
Amsterdam	Amsterdam (n)	
amulet	amulet	
